created,username,tweet,retwc,hashtag,followers,friends,label
07-04-2019 14:38,b'American',"b'RT @RealSLokhova: I received an email from my professor who encouraged me, a new mother with a 1 moth old baby, a woman who he knew has bee'",119,None,6213,6420,0
07-04-2019 14:38,b'Karla',b'@pradaziam Hahahah whore ass bitch',0,None,663,206,1
07-04-2019 14:38,b'BriO',b'@ProfessorSlay Calling him an attention whore is so damn appropriate right now \xf0\x9f\x98\xad',0,None,270,199,1
07-04-2019 14:38,b'vi',"b'RT @felipeneto: Brasileiros, ajudem a denunciar esse sujeito para a @UofSC (Universidade de South Carolina), onde ele estuda.Hi @UofSC, t'",35662,None,244,305,0
07-04-2019 14:38,b'D i a n n a\xf0\x9f\x8c\xb8',b'RT @marievanessaxo: Im such a whore for pasta https://t.co/8DSHYTSTB3',121,None,528,291,0
07-04-2019 14:37,b'KevHoe',"b'RT @Destiny_Oody: A cheating whore wife, a piece of shit dad, a bitch who had an abortion, and also a pussy boy who jacks off to my baby da'",18,None,515,664,1
07-04-2019 14:37,b'\xf0\x9d\x99\xb0\xf0\x9d\x9a\x9c\xf0\x9d\x9a\x91 \xf0\x9d\x99\xb2\xf0\x9d\x9a\x98\xf0\x9d\x9a\x9c\xf0\x9d\x9a\x9d\xf0\x9d\x9a\x8e\xf0\x9d\x9a\x95\xf0\x9d\x9a\x95\xf0\x9d\x9a\x98',b'RT @OfPotterism: So it comes to my attention that a stupid whore has harrased my little sister prepare to get REPUTATIONED bitch. https://t',2,None,55,60,0
07-04-2019 14:37,b'Gel Vieira',"b'RT @felipeneto: Brasileiros, ajudem a denunciar esse sujeito para a @UofSC (Universidade de South Carolina), onde ele estuda.Hi @UofSC, t'",35662,None,9428,10400,0
07-04-2019 14:37,b'anacapricorniana',"b'RT @felipeneto: Brasileiros, ajudem a denunciar esse sujeito para a @UofSC (Universidade de South Carolina), onde ele estuda.Hi @UofSC, t'",35662,None,1465,478,0
07-04-2019 14:37,b'blue__khaleesi',"b'RT @felipeneto: Brasileiros, ajudem a denunciar esse sujeito para a @UofSC (Universidade de South Carolina), onde ele estuda.Hi @UofSC, t'",35662,None,0,33,0
07-04-2019 14:37,b'hel\xc3\xb4',"b'RT @felipeneto: Brasileiros, ajudem a denunciar esse sujeito para a @UofSC (Universidade de South Carolina), onde ele estuda.Hi @UofSC, t'",35662,None,252,889,0
07-04-2019 14:36,b'Ballout\xf0\x9f\xa4\x91',b'RT @playboileek_: Free Bro Lil Whore \xf0\x9f\x98\x88\xf0\x9f\x96\xa4\xf0\x9f\x96\xa4 https://t.co/F2KnX0H4qi',3,None,2611,2363,0
07-04-2019 14:36,b'Oodles',"b'@RKGvideo @EGX That bullet was an attention whore, rumour has it Hideo Kojima was inside. https://t.co/BIQNRtVWh2'",0,None,137,210,0
07-04-2019 14:36,b'Syed',"b'RT @Rich9908: Referee Gil Manzano\'s report: ""In the 28th minute the player Diego Da Silva Costa was sent off for the following motive: he s'",1249,None,1330,823,0
07-04-2019 14:36,b'Maggy',b'RT @darylsturgis: @reesetheone1 I once told a Bernie Bro that attacking the only Black president is not going to help Bernie win the south',2,None,1040,2487,0
07-04-2019 14:36,b'gui',"b'RT @felipeneto: Brasileiros, ajudem a denunciar esse sujeito para a @UofSC (Universidade de South Carolina), onde ele estuda.Hi @UofSC, t'",35662,None,1577,3196,0
07-04-2019 14:36,b'Jamie\xf0\x9f\x96\xa4 soldier field',b'RT @sugastethic: Im a whore for yoongi being a whore in leather pants https://t.co/JLtFX0jrKj',334,None,169,253,0
07-04-2019 14:36,b'Pipol \xe2\x9c\x8a\xe2\x9d\xa4',"b'RT @felipeneto: Brasileiros, ajudem a denunciar esse sujeito para a @UofSC (Universidade de South Carolina), onde ele estuda.Hi @UofSC, t'",35662,None,580,547,0
07-04-2019 14:36,b'Hayssa',"b'RT @felipeneto: Brasileiros, ajudem a denunciar esse sujeito para a @UofSC (Universidade de South Carolina), onde ele estuda.Hi @UofSC, t'",35662,None,455,364,0
07-04-2019 14:36,b'\xc2\xa7\xc2\xa7Alice G. Black\xc2\xa7\xc2\xa7',b'RT @OfPotterism: So it comes to my attention that a stupid whore has harrased my little sister prepare to get REPUTATIONED bitch. https://t',2,None,1056,49,1
07-04-2019 14:36,b'Javed Sahib',b'@zebra_300 Have THEM run a train on YOU hmm... I knew you fucked around with strap ons you lil whore',0,None,97,98,1
07-04-2019 14:36,b'GOAT',b'@Dread_Shak No i didnt spell that whore name wrong ',0,None,579,545,1
07-04-2019 14:35,b'laura mac \xf0\x9f\x92\x8b',"b""RT @RuBotDragRace: Michelle Visage is so full of semen... period. No, seriously. She's a whore.""",2,None,30,125,1
07-04-2019 14:35,b'Jut \xe2\x84\xa2',"b'Im gonna take my whore to a lil side rode , '",0,None,211,213,1
07-04-2019 14:35,b'The Anti-Populist',b'@jones_kip @GregZeigler63 @Lilysnana2013 @DDW8569 @Carolyncorneli8 @da47panda @nancy_hamm1 @TRUMPGOATPOTUS https://t.co/xn7nzszUdE',0,None,365,919,0
07-04-2019 14:35,b'\xf0\x9d\x90\xa6\xf0\x9d\x90\xa8\xf0\x9d\x90\xa8\xf0\x9d\x90\xa7\xf0\x9f\x95\x8a',"b'RT @plteaa: rt/like to be in a BTS PAVED THE WAY gc-stan bts, duh-bts paved the way-pls be active-i call myself a whore a lot and mak'",88,None,139,201,0
07-04-2019 14:35,b'HappymilkshakeTumblr',b'RT @goddessalexisxo: \xe2\x9c\xa8 RETWEET GAME \xe2\x9c\xa8A cross dressing beta has earned the honor of being drained by his Goddess...$1/$1/$1Unlimited c',113,None,8,21,0
07-04-2019 14:35,b'Ambitchou$\xf0\x9f\x96\x95\xf0\x9f\x8f\xbe\xf0\x9f\x8f\x81',"b'You a thottie I wont cuff you like a cop, whore!'",0,None,615,536,1
07-04-2019 14:35,b'L D Woodroof',"b'RT @CHIZMAGA: So all Trump has to do in 2020 is beat a Creepy Pedo, a full blown Socialist, a Reparations Whore and a Fake Indian?Is this'",128,None,1019,847,1
07-04-2019 14:35,b'Alex Dixon',"b'RT @Rich9908: Referee Gil Manzano\'s report: ""In the 28th minute the player Diego Da Silva Costa was sent off for the following motive: he s'",1249,None,1613,93,0
07-04-2019 14:35,b'Carias',"b'RT @felipeneto: Brasileiros, ajudem a denunciar esse sujeito para a @UofSC (Universidade de South Carolina), onde ele estuda.Hi @UofSC, t'",35662,None,1222,993,0
07-04-2019 14:35,b'\xe2\x8c\x9b',"b'RT @felipeneto: Brasileiros, ajudem a denunciar esse sujeito para a @UofSC (Universidade de South Carolina), onde ele estuda.Hi @UofSC, t'",35662,None,1038,201,0
07-04-2019 14:35,b'Ragnar Danneskj\xc3\xb6ld',"b'RT @RealSLokhova: I received an email from my professor who encouraged me, a new mother with a 1 moth old baby, a woman who he knew has bee'",119,None,5850,5997,0
07-04-2019 14:35,"b""gue's \xf0\x9d\x93\x91\xf0\x9d\x93\xae\xf0\x9d\x93\xae ! jjong n woojin day! gue bday proj\xf0\x9f\x93\x8d""","b""Whore ain't our fault ur project floped  Why u on anon tho https://t.co/4BLidXmd2U""",0,None,486,382,1
07-04-2019 14:35,b'Chana.',b'@__MiguelJ4 So you can be a whore?? Uh uh stay where you at',0,None,1496,727,1
07-04-2019 14:35,b'm',"b'RT @felipeneto: Brasileiros, ajudem a denunciar esse sujeito para a @UofSC (Universidade de South Carolina), onde ele estuda.Hi @UofSC, t'",35662,None,2266,1502,0
07-04-2019 14:35,b'.',"b'RT @Rich9908: Referee Gil Manzano\'s report: ""In the 28th minute the player Diego Da Silva Costa was sent off for the following motive: he s'",1249,None,4498,1479,0
07-04-2019 14:34,b'JV \xf0\x9f\x8c\xbb\xf0\x9f\x90\x98',b'RT @abbygov: Indian people are fake af I have aunties coming up to me at the temple like abhi we are so proud of everything ur doing! man',152,None,660,1238,0
07-04-2019 14:34,b'J\xc3\xa1 se perguntou hoje?',"b'RT @felipeneto: Brasileiros, ajudem a denunciar esse sujeito para a @UofSC (Universidade de South Carolina), onde ele estuda.Hi @UofSC, t'",35662,None,263,178,0
07-04-2019 14:34,b'Naiara',"b'RT @felipeneto: Brasileiros, ajudem a denunciar esse sujeito para a @UofSC (Universidade de South Carolina), onde ele estuda.Hi @UofSC, t'",35662,None,10,98,0
07-04-2019 14:34,"b""Andr\xc3\xa9 Dall'agnol""","b'RT @felipeneto: Brasileiros, ajudem a denunciar esse sujeito para a @UofSC (Universidade de South Carolina), onde ele estuda.Hi @UofSC, t'",35662,None,37,63,0
07-04-2019 14:34,b'sad',b'Be sure to send some nudes today you sexy whore',1,None,32,15,1
07-04-2019 14:34,b'B\xc3\xb8rz.',"b'RT @taelicked: gonna fuck the soul out of you, wanna see you sweating still with your legs wide open and still a fucking needy whore waitin'",2,None,218,221,1
07-04-2019 14:34,b'Keisha',b'I want to talk to whore.',0,None,0,6,1
07-04-2019 14:34,b'rafalela',"b'RT @felipeneto: Brasileiros, ajudem a denunciar esse sujeito para a @UofSC (Universidade de South Carolina), onde ele estuda.Hi @UofSC, t'",35662,None,174,419,0
07-04-2019 14:34,b'Sarah Ratin',"b""@TimRunsHisMouth @LaurieMettier It couldn't be the reason that she belongs to a culture where men and women are enc https://t.co/yRfVTRIheq""",0,None,485,805,0
07-04-2019 14:34,b'Israel Encarna\xc3\xa7\xc3\xa3o',"b'RT @felipeneto: Brasileiros, ajudem a denunciar esse sujeito para a @UofSC (Universidade de South Carolina), onde ele estuda.Hi @UofSC, t'",35662,None,152,26,0
07-04-2019 14:34,b'Okiehard',"b'RT @CHIZMAGA: So all Trump has to do in 2020 is beat a Creepy Pedo, a full blown Socialist, a Reparations Whore and a Fake Indian?Is this'",128,None,113,103,1
07-04-2019 14:33,b'mama',b'Like men dont like whores but they actually do but they tell they woman at home to be the good girl she is but t https://t.co/0WjN8wSsO7',0,None,410,488,0
07-04-2019 14:33,b'sah',"b'RT @felipeneto: Brasileiros, ajudem a denunciar esse sujeito para a @UofSC (Universidade de South Carolina), onde ele estuda.Hi @UofSC, t'",35662,None,1710,2401,0
07-04-2019 14:33,b'sweet baby',"b'A concept: a dumb whore being too impatient to wait until their dom is awake, so they rub and take out their cock, https://t.co/8tLY0DlNvH'",0,None,12,71,1
07-04-2019 14:33,b'badgale',"b'RT @felipeneto: Brasileiros, ajudem a denunciar esse sujeito para a @UofSC (Universidade de South Carolina), onde ele estuda.Hi @UofSC, t'",35662,None,148,168,0
07-04-2019 14:33,b'p(ersona)',b'RT @sugastethic: Im a whore for yoongi being a whore in leather pants https://t.co/JLtFX0jrKj',334,None,1293,457,0
07-04-2019 14:33,b'LORRIE GRIFFIN',"b'RT @RealSLokhova: I received an email from my professor who encouraged me, a new mother with a 1 moth old baby, a woman who he knew has bee'",119,None,3624,4867,0
07-04-2019 14:33,b'\xd8\xaa\xd8\xa7\xd9\x8a\xd9\x84\xd9\x88\xd8\xb1',b'you a whore if you dont walk out. https://t.co/Szbe4cbziL',0,None,2723,1760,1
07-04-2019 14:33,b'\xf0\x9d\x90\xb5\xf0\x9d\x92\xb6\xf0\x9d\x93\x82 \xf0\x9f\x8c\xb8',b'@RelBell_ @MyFine_Self \xf0\x9f\x98\xad cokes maybe you do  and Arreal! No I was gonna come \xf0\x9f\x98\xad your sister was suppose to come too https://t.co/h0zk4axnuQ',0,None,2015,1728,0
07-04-2019 14:33,b'Maria Renaulde de Me',"b'RT @felipeneto: Brasileiros, ajudem a denunciar esse sujeito para a @UofSC (Universidade de South Carolina), onde ele estuda.Hi @UofSC, t'",35662,None,21,93,0
07-04-2019 14:33,b'Weeps4Wildlife',"b'#Arsenal players should be up for some acting awards, they seem to go down easier than a drug addled whore after su https://t.co/tZdeZbeFWq'",0,Arsenal,588,1354,1
07-04-2019 14:33,b'Mary',"b'RT @felipeneto: Brasileiros, ajudem a denunciar esse sujeito para a @UofSC (Universidade de South Carolina), onde ele estuda.Hi @UofSC, t'",35662,None,130,581,0
07-04-2019 14:33,b'JOAn j. bLaCk',b'So it comes to my attention that a stupid whore has harrased my little sister prepare to get REPUTATIONED bitch. https://t.co/3R1AvyboOB',2,None,838,104,1
07-04-2019 14:33,b'James',"b'RT @agathedupre0: Hey, how do you find me ? What do you want to do to me ? #horny #boobs #tits #pussy #porn #amateurporn #cumslut #blowjob'",4,horny,7,154,1
07-04-2019 14:33,b'\xf0\x9f\xa7\xb8',b'RT @sugastethic: Im a whore for yoongi being a whore in leather pants https://t.co/JLtFX0jrKj',334,None,40,64,0
07-04-2019 14:33,b'\xf0\x9f\xa6\x8b \xf0\x9d\x93\xa2\xf0\x9d\x93\xaa\xf0\x9d\x93\xab\xf0\x9d\x93\xb2 \xeb\x88\x84\xeb\x82\x98 \xf0\x9f\xa6\x8b',b'RT @sugastethic: Im a whore for yoongi being a whore in leather pants https://t.co/JLtFX0jrKj',334,None,511,502,0
07-04-2019 14:33,b'Julia stevens',"b""RT @novioliii: all attention is good attention when you're an insufferable attention whore""",1,None,117,373,0
07-04-2019 14:32,b'xzwtso',"b'RT @felipeneto: Brasileiros, ajudem a denunciar esse sujeito para a @UofSC (Universidade de South Carolina), onde ele estuda.Hi @UofSC, t'",35662,None,19,195,0
07-04-2019 14:32,b'Holly O keeffe',b'Unpopular opinion: a whore doesnt know shes a whore even if you tell her',0,None,61,51,1
07-04-2019 14:32,b'scooter wilkerson',"b'RT @AaronfingJ: Im down to splurge on my chick, bc I dont wife no whore, get the whole fall collection if she like that store.'",1,None,1112,1143,0
07-04-2019 14:32,b'Goldylocks',"b'RT @RealSLokhova: I received an email from my professor who encouraged me, a new mother with a 1 moth old baby, a woman who he knew has bee'",119,None,194,1364,0
07-04-2019 14:32,b'Klaudine\xf0\x9f\x91\xb8\xf0\x9f\x8f\xbb',b'RT @gnaxena: im a whore',1,None,229,152,0
07-04-2019 14:32,b'\xf0\x9f\x87\xba\xf0\x9f\x87\xb8David Breneman\xf0\x9f\x87\xba\xf0\x9f\x87\xb8',"b'RT @RealSLokhova: I received an email from my professor who encouraged me, a new mother with a 1 moth old baby, a woman who he knew has bee'",119,None,64,268,0
07-04-2019 14:32,b'zafar',b'americans have double standardsshes a whore and hes offended by me',0,None,0,0,0
07-04-2019 14:32,b'kerol \xf0\x9f\xa4\xaa',"b'RT @felipeneto: Brasileiros, ajudem a denunciar esse sujeito para a @UofSC (Universidade de South Carolina), onde ele estuda.Hi @UofSC, t'",35662,None,169,227,0
07-04-2019 14:32,b'vic',"b'RT @felipeneto: Brasileiros, ajudem a denunciar esse sujeito para a @UofSC (Universidade de South Carolina), onde ele estuda.Hi @UofSC, t'",35662,None,109,141,0
07-04-2019 14:31,b'',"b'if i call you a whore/ bitch it means i like you, dont get offended omabdjsbwba'",0,None,4733,1290,0
07-04-2019 14:31,b'Feminazgul',b'RT @abbygov: Indian people are fake af I have aunties coming up to me at the temple like abhi we are so proud of everything ur doing! man',152,None,13,167,0
07-04-2019 14:31,b'\xf0\x9d\x9a\x8c\xf0\x9d\x9a\x95\xf0\x9d\x9a\x98\xf0\x9d\x9a\x9e\xf0\x9d\x9a\x8d\xf0\x9d\x9a\x9c\xf0\x9f\x8c\xb8',b'RT @sugastethic: Im a whore for yoongi being a whore in leather pants https://t.co/JLtFX0jrKj',334,None,423,257,0
07-04-2019 14:31,b'Chris',"b""RT @Snowie89576718: EVERY RETWEET GETS A Pic \xf0\x9f\x98\x8d\xf0\x9f\x8d\x91 DM me if youre horny \xf0\x9f\x98\x9c\xf0\x9f\x8d\x86\xf0\x9f\x92\xa6DON'T FORGET TO FOLLOW ME#horny #boobs #tits #pussy #porn #amateu""",302,horny,1,17,1
07-04-2019 14:31,b'Coach Eve D. Hernandez',b'How much time will you spend today walking toward your goals? Whats the next level of YOU? Whore you BECOMING? L https://t.co/084ZRhwKi5',0,None,154,202,0
07-04-2019 14:31,b'Wolfmann',"b""RT @dvel86: Uploading pics on FB is always stressful one wrong pic and you're the whore of the family""",4,None,7135,6278,0
07-04-2019 14:31,b'Chris',"b""RT @Snowie89576718: EVERY RETWEET GETS A Pic \xf0\x9f\x98\x8d\xf0\x9f\x8d\x91 DM me if youre horny \xf0\x9f\x98\x9c\xf0\x9f\x8d\x86\xf0\x9f\x92\xa6DON'T FORGET TO FOLLOW ME #horny #boobs #tits #pussy #porn #amateu""",638,horny,1,17,0
07-04-2019 14:31,b'Alessandra',"b'RT @felipeneto: Brasileiros, ajudem a denunciar esse sujeito para a @UofSC (Universidade de South Carolina), onde ele estuda.Hi @UofSC, t'",35662,None,2,61,0
07-04-2019 14:30,b'Magda (Sif)',b'@AimeeMaroux @Whore_of_skyrim @AuthorBJBlack @BourbonSex @InmanBooks @AnjikoZ @rowena_tisdale @eroticCJ https://t.co/m97CYwWlDU',0,None,11,57,0
07-04-2019 14:30,b'Ponky',"b'RT @mortezian: everyones a whore, we just sell different parts of ourselves-ctto'",15,None,332,58,0
07-04-2019 14:30,b'Pedro',"b'RT @felipeneto: Brasileiros, ajudem a denunciar esse sujeito para a @UofSC (Universidade de South Carolina), onde ele estuda.Hi @UofSC, t'",35662,None,24,46,0
07-04-2019 14:30,b'galletica \xf0\x9f\x8d\xaa',"b'@BeckyBravo Ommgg! I totally forgot about the whore empowerment thing she did, lmao!! I remember when I first heard https://t.co/txkPsELcNQ'",0,None,105,239,0
07-04-2019 14:30,b'C U T I E P I E \xf0\x9f\x92\x95',b'RT @marievanessaxo: Im such a whore for pasta https://t.co/8DSHYTSTB3',121,None,321,581,0
07-04-2019 14:30,b'(H)igor \xf0\x9f\x94\xaa\xf0\x9f\x92\x94',"b'RT @felipeneto: Brasileiros, ajudem a denunciar esse sujeito para a @UofSC (Universidade de South Carolina), onde ele estuda.Hi @UofSC, t'",35662,None,91,435,0
07-04-2019 14:30,b'Daryl Sturgis\xe2\x9c\x8a\xf0\x9f\x8f\xbd',b'@reesetheone1 I once told a Bernie Bro that attacking the only Black president is not going to help Bernie win the https://t.co/Ek6F6dNp9a',2,None,1175,1285,0
07-04-2019 14:30,b'` \xf0\x9d\x96\x99',"b'gonna fuck the soul out of you, wanna see you sweating still with your legs wide open and still a fucking needy who https://t.co/KFOEwMf12R'",2,None,1759,1019,1
07-04-2019 14:30,b'Texan4Ever',"b'RT @RealSLokhova: I received an email from my professor who encouraged me, a new mother with a 1 moth old baby, a woman who he knew has bee'",119,None,417,164,0
07-04-2019 14:30,b'Janice Davis',b'Looking for nudes trade. My kik: dirtybabe4 #naked #slut #fuck #facial #bdsm #cumwhore #kink #milf #f4f #oral #whore #snapcode',0,naked,3119,28,1
07-04-2019 14:29,b'desgra\xc3\xa7ada',"b'RT @felipeneto: Brasileiros, ajudem a denunciar esse sujeito para a @UofSC (Universidade de South Carolina), onde ele estuda.Hi @UofSC, t'",35662,None,864,377,0
07-04-2019 14:29,b'\xf0\x9f\x90\xa3s\xc9\x91\xca\x80\xc9\x91\xc9\xa6\xe1\x83\xa6\xca\x86\xc9\xa8\xca\x8d\xc9\xa8\xd0\xb8\xf0\x9f\x8d\x91',"b'RT @felipeneto: Brasileiros, ajudem a denunciar esse sujeito para a @UofSC (Universidade de South Carolina), onde ele estuda.Hi @UofSC, t'",35662,None,476,167,0
07-04-2019 14:29,b'\xe2\x93\x99\xe2\x93\xa4\xe2\x93\x9b\xe2\x93\x98\xe2\x93\x90',"b'RT @felipeneto: Brasileiros, ajudem a denunciar esse sujeito para a @UofSC (Universidade de South Carolina), onde ele estuda.Hi @UofSC, t'",35662,None,3263,4731,0
07-04-2019 14:29,b'\xf0\x9f\x8e\xadCeLLy Persona\xf0\x9f\x8e\xad',b'RT @sugastethic: Im a whore for yoongi being a whore in leather pants https://t.co/JLtFX0jrKj',334,None,344,336,0
07-04-2019 14:29,b'Carla_93_86',b'RT @sugastethic: Im a whore for yoongi being a whore in leather pants https://t.co/JLtFX0jrKj',334,None,124,266,0
07-04-2019 14:29,b'\xe2\x9e\xb6 \xf0\x9d\x98\x93\xf0\x9d\x98\xaa\xf0\x9d\x98\xad \xf0\x9d\x98\x9a\xf0\x9d\x98\xba\xf0\x9d\x98\xb6\xf0\x9d\x98\xa3 \xf0\x9d\x98\x9a\xf0\x9d\x98\xba\xf0\x9d\x98\xb6\xf0\x9d\x98\xa3',b'RT @sugastethic: Im a whore for yoongi being a whore in leather pants https://t.co/JLtFX0jrKj',334,None,219,257,0
07-04-2019 14:29,b'gabs666',"b'RT @felipeneto: Brasileiros, ajudem a denunciar esse sujeito para a @UofSC (Universidade de South Carolina), onde ele estuda.Hi @UofSC, t'",35662,None,1,63,0
07-04-2019 14:29,b'shin\xe2\x9c\xa8',"b""hi yall im posting this from my grave,gn whore's.cr: to the owner because my friend sent me this so i dont know w https://t.co/XNuj9CxOe3""",0,None,15,220,0
07-04-2019 14:29,b'4pf',b'If my bitch dont like you then i hate you with a passion whore ass bitch',0,None,168,675,1
07-04-2019 14:29,b'makesUsick',"b""RT @dvel86: Uploading pics on FB is always stressful one wrong pic and you're the whore of the family""",4,None,1396,638,0
07-04-2019 14:29,b'b\xd1\x8f\xcf\x85\xd0\xb8\xcf\x83\xcf\x85\xe0\xb8\xa3',"b'RT @felipeneto: Brasileiros, ajudem a denunciar esse sujeito para a @UofSC (Universidade de South Carolina), onde ele estuda.Hi @UofSC, t'",35662,None,2504,1935,0
07-04-2019 14:29,b'Khaleesi',"b'Ladies, be real. You cuffing a man who posts gray sweats selfies on the tl like a whore??'",0,None,1263,701,0
07-04-2019 14:28,b'zander',b'@floydsdoors @kne_14 fkdjdjdjd no give it time white mans whore zander will come out for freddie again i promise',0,None,1364,439,0
07-04-2019 14:28,b'Bianca\xf0\x9f\x92\x9b',b'@ChuckyGltttt noooooo you whore',0,None,796,462,0
07-04-2019 14:28,b'des\xf0\x9f\x8c\xb8',"b'@Code17_ty the devil is a lietyquan stop saying that, you pregnant whore!'",0,None,249,310,1
07-04-2019 14:28,b'\xe2\x9d\x8c Wayword Knight \xf0\x9f\x87\xba\xf0\x9f\x87\xb8',"b'RT @RealSLokhova: I received an email from my professor who encouraged me, a new mother with a 1 moth old baby, a woman who he knew has bee'",119,None,10274,11186,0
07-04-2019 14:28,b'Trucker Bucky',"b""RT @dvel86: Uploading pics on FB is always stressful one wrong pic and you're the whore of the family""",4,None,1681,1288,0
07-04-2019 14:28,b'\xe2\x9c\x96\xef\xb8\x8f',"b""YOU DON'T HAVE TO BRING DOWN OTHER WOMEN JUST BECAUSE SHE USED TO DATE YOUR MAN OR IS CURRENTLY DATING YOUR EX. DON https://t.co/og3kwH0pp5""",0,None,569,373,0
07-04-2019 14:28,b'\xf0\x9d\x90\x81\xf0\x9d\x90\x9a\xf0\x9d\x90\xa4\xf0\x9d\x90\x9a\xf0\x9d\x90\xab',b'Still looking for a whore who can raise my kids btw',0,None,217,100,1
07-04-2019 14:28,b'kpu',b'RT @JezebelBro: signs as gays:aries- fem bottomtaurus- fem topgemini- pretends to be masccancer- drug addict bottomleo- str8 mans wh',29,None,1802,368,0
07-04-2019 14:28,b'Rookie425',b'@Rachelyoubish @SenpaiRigel You shut your whore mouth',0,None,1328,149,1
07-04-2019 14:28,b'DrunkBobRoss',"b""RT @dvel86: Uploading pics on FB is always stressful one wrong pic and you're the whore of the family""",4,None,2283,4042,0
07-04-2019 14:28,b'Luluzinha \xf0\x9f\x8d\x92',"b'RT @felipeneto: Brasileiros, ajudem a denunciar esse sujeito para a @UofSC (Universidade de South Carolina), onde ele estuda.Hi @UofSC, t'",35662,None,683,383,0
07-04-2019 14:27,b'JRNeto',"b'RT @felipeneto: Brasileiros, ajudem a denunciar esse sujeito para a @UofSC (Universidade de South Carolina), onde ele estuda.Hi @UofSC, t'",35662,None,7,27,0
07-04-2019 14:27,b'whoopi goldberg',"b'@wonhosmiile just realized his balls are all out, what a whore'",0,None,153,339,1
07-04-2019 14:27,b'Ted',"b""RT @RuBotDragRace: Michelle Visage is so full of semen... period. No, seriously. She's a whore.""",2,None,1159,512,1
07-04-2019 14:27,b'Kam \xe2\x9c\xb5',b'RT @marievanessaxo: Im such a whore for pasta https://t.co/8DSHYTSTB3',121,None,411,288,0
07-04-2019 14:27,b'cock (and pussy) lover',b'Spent the whole night fucking like a whore \xf0\x9f\x98\x88',0,None,0,7,0
07-04-2019 14:27,b'rpdr quotes',"b""Michelle Visage is so full of semen... period. No, seriously. She's a whore.""",2,None,10216,12,1
07-04-2019 14:27,b'Double D',"b""Uploading pics on FB is always stressful one wrong pic and you're the whore of the family""",4,None,43041,5313,0
07-04-2019 14:27,b'Nick',"b""RT @DianaRogersRP: The poor groom's bride is a whore(?) https://t.co/wcasydt9le""",1,None,14,14,1
07-04-2019 14:27,b'Jonatan (Nine Trey Yangsters)',b'@ironicsadtire \xf0\x9f\xa7\xbf&lt;- this is the mark of the new age whore',0,None,597,237,1
07-04-2019 14:27,b'Bollins \xf0\x9f\x8f\xb4\xf3\xa0\x81\xa7\xf3\xa0\x81\xa2\xf3\xa0\x81\xb7\xf3\xa0\x81\xac\xf3\xa0\x81\xb3\xf3\xa0\x81\xbf',"b'RT @Rich9908: Referee Gil Manzano\'s report: ""In the 28th minute the player Diego Da Silva Costa was sent off for the following motive: he s'",1249,None,269,386,0
